"CUST_ID","LAST_NAME","FIRST_NAME","STREET_ADDRESS","POSTAL_CODE","CITY_ID","CITY","STATE_PROVINCE_ID","STATE_PROVINCE","COUNTRY_ID","COUNTRY","CONTINENT_ID","CONTINENT","AGE","COMMUTE_DISTANCE","CREDIT_BALANCE","EDUCATION","EMAIL","FULL_TIME","GENDER","HOUSEHOLD_SIZE","INCOME","INCOME_LEVEL","INSUFF_FUNDS_INCIDENTS","JOB_TYPE","LATE_MORT_RENT_PMTS","MARITAL_STATUS","MORTGAGE_AMT","NUM_CARS","NUM_MORTGAGES","PET","PROMOTION_RESPONSE","RENT_OWN","SEG","WORK_EXPERIENCE","YRS_CURRENT_EMPLOYER","YRS_CUSTOMER","YRS_RESIDENCE","ADDRESS_POINT","COUNTRY_CODE","USERNAME"
11,"Azlivian","Lyuba","FINKLE STREET","CA14 2",49458,"WORKINGTON",1113,"",129,"United Kingdom",14,"Europe",18,4,0,"LessThanHS","Lyuba.Azlivian@oraclemail.com","No","Female",9,656,"A: Below 30,000",0,"Business",0,"S",0,0,0,"Cat",0,"",1,4,1,2,18,oracle.sql.STRUCT@793274cf,"GB","guest1463"
12,"Byers","Frank","15 KING STREET","EH48 1",72293,"BATHGATE",1113,"",129,"United Kingdom",14,"Europe",37,34,231,"Masters","Frank.Byers@oraclemail.com","Yes","Male",1,94894,"E: 90,000 - 109,999",1,"Business",1,"S",202000,1,1,"Unknown",0,"Own",4,14,9,5,4,oracle.sql.STRUCT@3e0fac49,"GB","guest448"
13,"Brauner","Cittabhoga","25 HIGH STREET","IV1 1",11667,"INVERNESS",1113,"",129,"United Kingdom",14,"Europe",41,25,66,"Bachelors","Cittabhoga.Brauner@oraclemail.com","Yes","Male",5,71287,"D: 70,000 - 89,999",0,"Professional",0,"M",130000,2,2,"Dog",0,"Own",6,14,9,10,10,oracle.sql.STRUCT@58ab8580,"GB","guest1010"
14,"Bashinjaghian","Teddy","GUILDFORD ROAD","RH12 1",99515,"HORSHAM",1113,"",129,"United Kingdom",14,"Europe",42,14,82,"Masters","Teddy.Bashinjaghian@oraclemail.com","Yes","Male",6,81021,"D: 70,000 - 89,999",0,"Professional",0,"M",230000,1,1,"Cat",0,"Own",6,23,10,3,8,oracle.sql.STRUCT@6c686d06,"GB","guest2572"
15,"Erickson","Gracie","630 Nevada St","94965",95695,"Sausalito",1134,"California",102,"United States",11,"North America",75,1,100,"High School","Gracie.Erickson@oraclemail.com","No","Female",1,67038,"C: 50,000 - 69,999",0,"Services",0,"S",0,1,0,"Other",0,"Own",10,4,2,12,2,oracle.sql.STRUCT@616f848,"US",""
16,"Carney","Aurora","150 Serra Ave ","94030-2629",49728,"Millbrae",1134,"California",102,"United States",11,"North America",69,2,410,"Associates","Aurora.Carney@oraclemail.com","No","Female",2,10826,"A: Below 30,000",0,"Business",3,"M",0,2,0,"Other",0,"Rent",8,39,3,10,2,oracle.sql.STRUCT@45386127,"US","guest826"
17,"Mcclure","Wiley","703 Santa Barbara Rd","94704-1116",56756,"Berkeley",1134,"California",102,"United States",11,"North America",67,0,36,"Bachelors","Wiley.Mcclure@oraclemail.com","No","Male",1,104053,"E: 90,000 - 109,999",1,"Business",1,"S",0,1,0,"Cat",0,"Rent",9,7,3,5,3,oracle.sql.STRUCT@41bb7b85,"US","guest2773"
18,"Hobbs","Dudley","5401 Snyder Ln ","94928-2955",77943,"Rohnert Park",1134,"California",102,"United States",11,"North America",63,9,87,"Bachelors","Dudley.Hobbs@oraclemail.com","Yes","Male",2,32758,"B: 30,000 - 49,999",1,"Professional",0,"M",0,2,0,"Unknown",0,"Rent",8,35,8,3,2,oracle.sql.STRUCT@6e943ee9,"US","guest945"
19,"Trujillo","Alisha","1650 Los Gamos Dr ","94903-1899",77600,"San Rafael",1134,"California",102,"United States",11,"North America",57,8,473,"Doctorate","Alisha.Trujillo@oraclemail.com","Yes","Female",3,116431,"F: 110,000 - 129,999",0,"Business",0,"S",0,1,0,"Unknown",0,"Rent",9,25,6,1,6,oracle.sql.STRUCT@5f714fcb,"US","guest1278"
20,"Vincent","Alicia","1500 Warburton Ave","95050",69723,"Santa Clara",1134,"California",102,"United States",11,"North America",45,1,106,"Masters","Alicia.Vincent@oraclemail.com","Yes","Female",1,97112,"E: 90,000 - 109,999",0,"Business",0,"S",0,1,0,"Unknown",0,"Rent",7,13,13,1,14,oracle.sql.STRUCT@59463c5b,"US","guest3712"
21,"Tillman","Jason","333 E 38th St Frnt 3","10019-7002",35726,"New York",1079,"New York",102,"United States",11,"North America",60,18,132,"LessThanHS","Jason.Tillman@oraclemail.com","Yes","Male",2,4823,"A: Below 30,000",2,"Professional",1,"M",0,2,0,"Unknown",0,"Own",8,15,15,10,5,oracle.sql.STRUCT@433b13a5,"US","guest497"
22,"Irwin","Velma","4111 Roblar Rd","94952",10206,"Petaluma",1134,"California",102,"United States",11,"North America",23,19,22,"Masters","Velma.Irwin@oraclemail.com","Yes","Female",1,112511,"F: 110,000 - 129,999",0,"Business",0,"S",176000,1,1,"Other",0,"Own",5,3,2,2,2,oracle.sql.STRUCT@c171e5d,"US",""
23,"Harding","Simon","1505 Tiburon Blvd.","94920",111100,"Belvedere-Tiburon",1134,"California",102,"United States",11,"North America",59,4,244,"Masters","Simon.Harding@oraclemail.com","No","Male",2,40877,"B: 30,000 - 49,999",0,"Business",0,"S",0,0,0,"Unknown",0,"Rent",9,22,11,6,1,oracle.sql.STRUCT@594d1703,"US","guest2755"
24,"Howell","Claudia","1 Infinite Loop","95014",105086,"Cupertino",1134,"California",102,"United States",11,"North America",72,-1,5,"Associates","Claudia.Howell@oraclemail.com","","Female",1,73289,"D: 70,000 - 89,999",0,"Business",0,"S",0,1,0,"Cat",0,"Own",10,33,,19,9,oracle.sql.STRUCT@31014c95,"US","guest4376"
25,"Spence","Ebony","1195 3rd St Rm B-10","94559",96733,"Napa",1134,"California",102,"United States",11,"North America",35,12,231,"Bachelors","Ebony.Spence@oraclemail.com","No","Female",3,82477,"D: 70,000 - 89,999",0,"Business",0,"M",0,2,0,"Unknown",0,"Rent",3,10,1,4,9,oracle.sql.STRUCT@2abcd72b,"US","guest2673"
26,"Payne","Gregorio","2060 Tapscott Ave","94530",83547,"El Cerrito",1134,"California",102,"United States",11,"North America",58,5,164,"Doctorate","Gregorio.Payne@oraclemail.com","Yes","Male",2,109011,"E: 90,000 - 109,999",1,"Clerical",0,"M",0,2,0,"Other",0,"Rent",8,21,14,9,2,oracle.sql.STRUCT@1e6dc1d7,"US","guest800"
27,"Morris","Rufus","400 8th Ave","10011",35726,"New York",1079,"New York",102,"United States",11,"North America",31,4,408,"Bachelors","Rufus.Morris@oraclemail.com","No","Male",3,99664,"E: 90,000 - 109,999",0,"Clerical",0,"M",0,2,0,"Unknown",0,"Rent",3,9,4,2,7,oracle.sql.STRUCT@2f293816,"US","guest2729"
28,"Rivera","Adolfo","365 5th Ave ","10016-4309",35726,"New York",1079,"New York",102,"United States",11,"North America",23,12,398,"Associates","Adolfo.Rivera@oraclemail.com","No","Male",5,26742,"A: Below 30,000",1,"Scientific",5,"M",0,2,0,"Other",0,"Rent",3,2,2,4,3,oracle.sql.STRUCT@1477ac82,"US","guest4529"
29,"Ortiz","Wilma","1975 Pennsylvania Ave ","94533-3643",100062,"Fairfield",1134,"California",102,"United States",11,"North America",40,0,134,"Doctorate","Wilma.Ortiz@oraclemail.com","","Female",7,45675,"B: 30,000 - 49,999",2,"Sales",3,"M",110000,3,2,"Unknown",0,"Own",7,19,,8,20,oracle.sql.STRUCT@58be34a8,"US","guest3591"
30,"Alford","Leo","One Penn Plaza","10016",35726,"New York",1079,"New York",102,"United States",11,"North America",30,22,286,"Masters","Leo.Alford@oraclemail.com","Yes","Male",1,81490,"D: 70,000 - 89,999",1,"Business",1,"S",238000,1,1,"Dog",0,"Own",4,4,4,2,1,oracle.sql.STRUCT@28ad2511,"US","guest322"
31,"Vaughan","Jan","650 N Delaware St","94401",10165,"San Mateo",1134,"California",102,"United States",11,"North America",76,-1,166,"Masters","Jan.Vaughan@oraclemail.com","","Male",1,100927,"E: 90,000 - 109,999",0,"Scientific",0,"S",0,1,0,"Dog",0,"Own",10,14,,18,8,oracle.sql.STRUCT@4ea2419a,"US","guest2131"
32,"Carroll","Marci","101 Grove St ","94123",111457,"San Francisco",1134,"California",102,"United States",11,"North America",47,11,488,"Associates","Marci.Carroll@oraclemail.com","Yes","Female",4,45251,"B: 30,000 - 49,999",0,"Professional",0,"M",0,3,0,"Cat",0,"Rent",7,16,4,1,17,oracle.sql.STRUCT@6798f770,"US","guest3038"
33,"Conley","Beatrice","150 Van Ness Avenue","94108",111457,"San Francisco",1134,"California",102,"United States",11,"North America",52,0,132,"Bachelors","Beatrice.Conley@oraclemail.com","No","Female",1,81102,"D: 70,000 - 89,999",0,"Professional",0,"S",0,1,0,"Unknown",0,"Rent",7,26,1,1,1,oracle.sql.STRUCT@4e2a845f,"US","guest2271"
34,"Franklin","Damian","3010 Colby St Ste 118","94705",56756,"Berkeley",1134,"California",102,"United States",11,"North America",56,18,105,"Bachelors","Damian.Franklin@oraclemail.com","Yes","Male",1,98823,"E: 90,000 - 109,999",0,"Professional",0,"S",100000,1,1,"Unknown",0,"Own",9,7,7,0,10,oracle.sql.STRUCT@feea526,"US","guest2276"
35,"Osborne","Lloyd","150 Van Ness Avenue","94102",111457,"San Francisco",1134,"California",102,"United States",11,"North America",55,5,227,"Associates","Lloyd.Osborne@oraclemail.com","Yes","Male",2,2980,"A: Below 30,000",3,"Skilled",3,"M",1429,2,1,"Other",0,"Own",8,34,12,7,5,oracle.sql.STRUCT@539c9bd0,"US","guest885"
36,"Lynn","Blaine","4665 Bernal Avenue","94566",93024,"Pleasanton",1134,"California",102,"United States",11,"North America",50,16,66,"LessThanHS","Blaine.Lynn@oraclemail.com","Yes","Male",1,12055,"A: Below 30,000",0,"Professional",0,"S",0,1,0,"Unknown",0,"Rent",6,29,4,3,15,oracle.sql.STRUCT@739fd5a4,"US","guest3555"
37,"Schneider","Berta","150 Oak St","94118",111457,"San Francisco",1134,"California",102,"United States",11,"North America",49,3,498,"LessThanHS","Berta.Schneider@oraclemail.com","Yes","Female",4,9468,"A: Below 30,000",0,"Services",3,"S",260000,2,2,"Other",0,"Own",7,28,4,8,18,oracle.sql.STRUCT@698dbff4,"US","guest1436"
38,"Mcmahon","Tammi","Po Box 280","95433",83824,"El Verano",1134,"California",102,"United States",11,"North America",35,6,443,"Doctorate","Tammi.Mcmahon@oraclemail.com","No","Female",3,115107,"F: 110,000 - 129,999",0,"Business",2,"S",188000,1,1,"Cat",0,"Own",5,7,3,3,1,oracle.sql.STRUCT@1330f076,"US","guest4185"
39,"Mcdowell","Hazel","11965 Venice Blvd Ste 304","90047-1307",79886,"Los Angeles",1134,"California",102,"United States",11,"North America",43,14,5,"Associates","Hazel.Mcdowell@oraclemail.com","Yes","Female",3,68762,"C: 50,000 - 69,999",2,"Labor",2,"S",0,1,0,"Unknown",0,"Rent",7,4,4,3,17,oracle.sql.STRUCT@2445bbdb,"US","guest3565"
40,"Prince","Frederic","1225 Wilshire Blvd ","90012",79886,"Los Angeles",1134,"California",102,"United States",11,"North America",19,4,0,"High School","Frederic.Prince@oraclemail.com","No","Male",8,17032,"A: Below 30,000",0,"Labor",0,"S",0,0,0,"Cat",0,"",1,4,1,2,19,oracle.sql.STRUCT@297a6802,"US","guest1030"
41,"Mcgowan","Pedro","875 N Brea Blvd ","92821-2606",58806,"Brea",1134,"California",102,"United States",11,"North America",71,-1,59,"Doctorate","Pedro.Mcgowan@oraclemail.com","","Male",1,119399,"F: 110,000 - 129,999",0,"Business",0,"S",0,1,0,"Unknown",0,"Own",10,20,,5,38,oracle.sql.STRUCT@2d8c10c6,"US","guest2328"
42,"Franklin","Vernon","222 N Sepulveda Boulevard","90245",49648,"El Segundo",1134,"California",102,"United States",11,"North America",51,10,435,"Bachelors","Vernon.Franklin@oraclemail.com","Yes","Male",5,49390,"B: 30,000 - 49,999",0,"Services",1,"M",410000,2,2,"Dog",0,"Own",6,31,11,6,18,oracle.sql.STRUCT@392be641,"US","guest1016"
43,"Bright","Maryanne","8620 California Ave ","90280-3004",83350,"South Gate",1134,"California",102,"United States",11,"North America",26,15,160,"Masters","Maryanne.Bright@oraclemail.com","Yes","Female",1,105734,"E: 90,000 - 109,999",0,"Business",0,"S",0,1,0,"Unknown",0,"Rent",5,6,2,5,2,oracle.sql.STRUCT@303919dc,"US","guest4106"
44,"Wolf","Jefferson","3711 Long Beach Blvd","90807",10753,"Long Beach",1134,"California",102,"United States",11,"North America",67,7,301,"Masters","Jefferson.Wolf@oraclemail.com","Yes","Male",2,32511,"B: 30,000 - 49,999",0,"Labor",0,"M",0,2,0,"Unknown",0,"Own",8,18,5,8,26,oracle.sql.STRUCT@4a794da1,"US","guest960"
45,"Duffy","Jayne","1000 Flower St.","91201",61625,"Glendale",1134,"California",102,"United States",11,"North America",33,7,209,"Associates","Jayne.Duffy@oraclemail.com","Yes","Female",3,2336,"A: Below 30,000",1,"Business",2,"S",0,1,0,"Unknown",0,"Rent",5,11,4,6,5,oracle.sql.STRUCT@73e7e08,"US","guest3186"
46,"Gallegos","Magdalena","1425 Dowell Dr ","93003-7362",65054,"Ventura",1134,"California",102,"United States",11,"North America",31,34,799,"Associates","Magdalena.Gallegos@oraclemail.com","Yes","Male",1,20712,"A: Below 30,000",2,"Business",2,"S",0,1,0,"Unknown",0,"Rent",4,6,6,3,2,oracle.sql.STRUCT@61419940,"US","guest43"
47,"Merrill","Bud","361 Hospital Rd Ste 124","92663",51393,"Newport Beach",1134,"California",102,"United States",11,"North America",63,4,157,"High School","Bud.Merrill@oraclemail.com","No","Male",2,7560,"A: Below 30,000",0,"Professional",0,"S",0,1,0,"Unknown",0,"Rent",9,38,23,5,18,oracle.sql.STRUCT@19ce8b4d,"US","guest2604"
48,"Mejia","Jody","44811 Sierra Hwy","93534",36334,"Lancaster",1134,"California",102,"United States",11,"North America",75,-1,44,"Associates","Jody.Mejia@oraclemail.com","","Male",1,13819,"A: Below 30,000",0,"Business",0,"S",0,1,0,"Unknown",0,"Rent",10,14,,1,1,oracle.sql.STRUCT@19dac990,"US","guest4493"
49,"Gilliam","Bobbie","1020 Termino Ave ","90804-4123",10753,"Long Beach",1134,"California",102,"United States",11,"North America",33,6,157,"Masters","Bobbie.Gilliam@oraclemail.com","No","Male",4,112151,"F: 110,000 - 129,999",0,"Skilled",1,"M",0,2,0,"Unknown",0,"Rent",3,7,3,1,1,oracle.sql.STRUCT@6d602a9d,"US","guest3413"
50,"Conley","Sonja","4111 Las Virgenes Rd","91302",10750,"Calabasas",1134,"California",102,"United States",11,"North America",68,-1,139,"Doctorate","Sonja.Conley@oraclemail.com","","Female",1,63466,"C: 50,000 - 69,999",0,"Skilled",0,"S",0,1,0,"Unknown",0,"Rent",9,3,,7,4,oracle.sql.STRUCT@625e8,"US","guest2090"
51,"Wells","Judith","3011 Malibu Canyon Rd","90265",55379,"Malibu",1134,"California",102,"United States",11,"North America",56,11,254,"Associates","Judith.Wells@oraclemail.com","No","Female",2,11587,"A: Below 30,000",0,"Professional",3,"M",0,2,0,"Other",0,"Own",8,37,9,4,29,oracle.sql.STRUCT@6d7f5246,"US","guest587"
52,"Sosa","Tod","9849 Liggett St","90706",49515,"Bellflower",1134,"California",102,"United States",11,"North America",63,12,393,"LessThanHS","Tod.Sosa@oraclemail.com","Yes","Male",2,9387,"A: Below 30,000",0,"Business",1,"M",0,2,0,"Dog",0,"Own",8,24,24,11,4,oracle.sql.STRUCT@22a69030,"US","guest508"
53,"Odom","Charles","24930 Avenue Stanford    .","91355",95170,"Santa Clarita",1134,"California",102,"United States",11,"North America",23,32,884,"Masters","Charles.Odom@oraclemail.com","Yes","Male",1,76375,"D: 70,000 - 89,999",1,"Labor",1,"S",0,1,0,"Unknown",0,"Rent",4,4,2,5,2,oracle.sql.STRUCT@4e7e723b,"US","guest269"
54,"Meyer","Barbra","100 Academy Drive","92612",10756,"Irvine",1134,"California",102,"United States",11,"North America",17,-1,0,"LessThanHS","Barbra.Meyer@oraclemail.com","","Female",7,18074,"A: Below 30,000",0,"Scientific",0,"S",0,1,0,"Dog",0,"",1,4,,1,17,oracle.sql.STRUCT@7f663779,"US","guest1694"
55,"Mckinney","Lonnie","870 Santa Barbara Drive","92658",51393,"Newport Beach",1134,"California",102,"United States",11,"North America",53,4,140,"Doctorate","Lonnie.Mckinney@oraclemail.com","Yes","Male",7,96059,"E: 90,000 - 109,999",0,"Clerical",0,"M",270000,2,2,"Other",0,"Own",6,5,5,6,6,oracle.sql.STRUCT@689cb7b1,"US","guest1127"
56,"Vincent","Alison","1020 Termino Ave ","90804-4123",10753,"Long Beach",1134,"California",102,"United States",11,"North America",26,30,87,"LessThanHS","Alison.Vincent@oraclemail.com","Yes","Female",1,37357,"B: 30,000 - 49,999",0,"Skilled",0,"S",0,1,0,"Unknown",0,"Rent",5,3,1,1,1,oracle.sql.STRUCT@7e2d8d82,"US","guest3016"
57,"Knowles","Jimmie","1053 East 5th Street","90806",10753,"Long Beach",1134,"California",102,"United States",11,"North America",54,11,180,"Bachelors","Jimmie.Knowles@oraclemail.com","Yes","Male",2,117775,"F: 110,000 - 129,999",0,"None",0,"M",0,1,0,"Unknown",0,"Rent",6,23,4,1,1,oracle.sql.STRUCT@437fd7d6,"US","guest2306"
58,"Gibbs","Bette","5050 Barranca Pkwy ","92618",10756,"Irvine",1134,"California",102,"United States",11,"North America",53,5,272,"Doctorate","Bette.Gibbs@oraclemail.com","Yes","Female",2,34271,"B: 30,000 - 49,999",2,"Business",1,"S",60000,2,1,"Unknown",0,"Own",7,24,6,6,20,oracle.sql.STRUCT@decfd3f,"US","guest2838"
59,"Lane","Preston","23845 Mcbean Pkwy ","91355-2001",63637,"Valencia",1134,"California",102,"United States",11,"North America",42,18,206,"Associates","Preston.Lane@oraclemail.com","Yes","Male",7,4794,"A: Below 30,000",2,"Scientific",1,"M",190000,2,2,"Dog",0,"Own",6,10,5,10,20,oracle.sql.STRUCT@40e20c,"US","guest1363"
60,"Burks","Booker","1350 3rd St","91750",82141,"La Verne",1134,"California",102,"United States",11,"North America",19,1,0,"High School","Booker.Burks@oraclemail.com","Yes","Male",2,15922,"A: Below 30,000",0,"Business",0,"S",0,1,0,"Other",0,"",1,1,1,3,19,oracle.sql.STRUCT@12932e1b,"US","guest1105"
61,"Sawyer","Jame","931 W Philadelphia St","91762",110697,"Ontario",1134,"California",102,"United States",11,"North America",60,20,494,"Associates","Jame.Sawyer@oraclemail.com","Yes","Male",2,74976,"D: 70,000 - 89,999",0,"Professional",0,"M",0,2,0,"Other",0,"Own",8,35,27,9,2,oracle.sql.STRUCT@2fef8af8,"US","guest695"
62,"Perry","Christa","320 N Flower St Ste 400","92704-3909",23311,"Santa Ana",1134,"California",102,"United States",11,"North America",76,-1,68,"Associates","Christa.Perry@oraclemail.com","","Female",2,26710,"A: Below 30,000",0,"Business",0,"M",0,1,0,"Unknown",0,"Rent",10,20,,7,7,oracle.sql.STRUCT@45809f3f,"US","guest2997"
63,"Doyle","Malcolm","12029 Avalon Blvd ","90061-2838",79886,"Los Angeles",1134,"California",102,"United States",11,"North America",28,14,646,"Associates","Malcolm.Doyle@oraclemail.com","Yes","Male",1,34350,"B: 30,000 - 49,999",2,"Skilled",2,"S",0,1,0,"Unknown",0,"Rent",4,7,3,3,3,oracle.sql.STRUCT@42575501,"US","guest450"
64,"Espinoza","Antoine","515 Kelton Ave. Apt. #212","90036",79886,"Los Angeles",1134,"California",102,"United States",11,"North America",46,30,120,"LessThanHS","Antoine.Espinoza@oraclemail.com","Yes","Male",1,10085,"A: Below 30,000",0,"Professional",1,"S",160000,1,1,"Unknown",0,"Own",6,25,6,6,18,oracle.sql.STRUCT@493f48a6,"US","guest1578"
65,"Barnes","Devin","505 N La Brea Ave","90036",79886,"Los Angeles",1134,"California",102,"United States",11,"North America",50,1,303,"LessThanHS","Devin.Barnes@oraclemail.com","Yes","Male",1,16036,"A: Below 30,000",0,"Skilled",3,"S",100000,1,1,"Unknown",0,"Own",6,13,7,10,18,oracle.sql.STRUCT@1a54a333,"US","guest1575"
66,"Taylor","Robyn","312 North Spring Street","90012",79886,"Los Angeles",1134,"California",102,"United States",11,"North America",34,1,307,"Masters","Robyn.Taylor@oraclemail.com","No","Female",4,99367,"E: 90,000 - 109,999",0,"Sales",1,"M",0,2,0,"Unknown",0,"Rent",3,9,1,3,3,oracle.sql.STRUCT@5becbe21,"US","guest4110"
67,"Chen","Steven","1530 N San Antonio Ave","91786",94548,"Upland",1134,"California",102,"United States",11,"North America",18,4,0,"LessThanHS","Steven.Chen@oraclemail.com","No","Male",9,571,"A: Below 30,000",1,"Professional",0,"S",0,0,0,"Cat",0,"",1,3,1,2,18,oracle.sql.STRUCT@23eb0700,"US","guest1094"
68,"Bennett","Keri","1200 N Tustin Ave Ste 150","92705",23311,"Santa Ana",1134,"California",102,"United States",11,"North America",37,0,1387,"Associates","Keri.Bennett@oraclemail.com","Yes","Male",2,92870,"E: 90,000 - 109,999",0,"Sales",0,"M",290750,2,1,"Unknown",0,"Own",2,15,9,3,0.925,oracle.sql.STRUCT@10a201a3,"US","guest92"
69,"Pratt","Brain","Po Box 2507","91769",63813,"Pomona",1134,"California",102,"United States",11,"North America",54,28,475,"Masters","Brain.Pratt@oraclemail.com","Yes","Male",6,44345,"B: 30,000 - 49,999",0,"Business",0,"M",0,1,0,"Unknown",0,"Rent",6,33,5,7,19,oracle.sql.STRUCT@2f5075bf,"US","guest2042"
70,"Sugiyama","Takumi","","",57824,"Yahagi",1112,"Tokyo",128,"Japan",16,"Asia",69,2,97,"Associates","Takumi.Sugiyama@oraclemail.com","No","Male",1,50882,"C: 50,000 - 69,999",0,"Sales",0,"S",170000,1,1,"Unknown",0,"Own",9,25,3,0,3,oracle.sql.STRUCT@11f3cbc2,"JP","guest2267"
71,"Miyagi","Kaito","","",93795,"Yamato-minami",1112,"Tokyo",128,"Japan",16,"Asia",42,23,323,"Associates","Kaito.Miyagi@oraclemail.com","Yes","Male",1,19748,"A: Below 30,000",2,"Business",2,"S",0,1,0,"Unknown",0,"Rent",6,15,6,5,17,oracle.sql.STRUCT@6a5b1dfb,"JP","guest2193"
72,"Kudo","Masato","","",75182,"Iwabe",1112,"Tokyo",128,"Japan",16,"Asia",17,-1,0,"LessThanHS","Masato.Kudo@oraclemail.com","","Male",2,24639,"A: Below 30,000",0,"Scientific",0,"S",0,0,0,"Unknown",0,"",1,5,,0,17,oracle.sql.STRUCT@6af4a60a,"JP","guest1594"
73,"Riley","Calvin","2500 South Garfield Avenue Room 117","90040",65987,"City Of Commerce",1134,"California",102,"United States",11,"North America",46,23,112,"Masters","Calvin.Riley@oraclemail.com","Yes","Male",6,82777,"D: 70,000 - 89,999",0,"Business",0,"M",170000,1,1,"Cat",0,"Own",6,6,6,7,2,oracle.sql.STRUCT@4625db66,"US","guest1638"
