ORDER_LINE_ID,ORDER_ID,ORDER_PRIORITY,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SEGMENT,CITY,PRODUCT_CATEGORY,PRODUCT_SUB_CATEGORY,PRODUCT_CONTAINER,PRODUCT_NAME,PROFIT,PROFIT_RATIO,QUANTITY_ORDERED,SALES,DISCOUNT,GROSS_UNIT_PRICE,SHIPPING_COST,SHIP_MODE,SHIP_DATE,ORDER_DATE,STATE,POSTAL_CODE,COUNTRY,LATITUDE,LONGITUDE,CONTINENT,REGION,SALES_REP
445,87463,Low,169,Janice Cole,Corporate,Sheffield,Office Supplies,Paper,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",24,77.41935484,3,31,2,11,2,Regular Air,1/7/2015,1/2/2015,England,GB101483,United Kingdom,53.36667666,-1.499996583,Europe,Northern Europe,
307,89583,High,114,Ron Newton,Home Office,Glasgow,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",18,58.06451613,7,31,1,5,1,Regular Air,1/4/2015,1/2/2015,England,GB101496,United Kingdom,55.87440472,-4.250707236,Europe,Northern Europe,
317,7909,High,117,Linda Weiss,Home Office,Santiago,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",9,7.086614173,29,127,6,5,1,Regular Air,1/4/2015,1/2/2015,Santiago,CH101604,Chile,-33.45001382,-70.66704085,America,South America,
444,87463,Low,169,Janice Cole,Corporate,Cardiff,Technology,Office Machines,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,-109,-1.576283442,12,6915,372,607,24,Regular Air,1/10/2015,1/2/2015,England,GB101410,United Kingdom,51.49999473,-3.22500757,Europe,Northern Europe,
1020,90337,Critical,388,Roger Schwartz,Corporate,Melbourne,Technology,Telephones and Communication,Small Box,T18,-255,-109.9137931,2,232,7,117,3,Regular Air,1/6/2015,1/2/2015,State of Victoria,AU101558,Australia,-37.82003131,144.9750162,Oceania,Australia and New Zealand,
7070,88296,High,2579,Marshall Sutherland,Home Office,Charleston,Furniture,Tables,Jumbo Box,Bush Advantage Collection Round Conference Table,-265,-129.9019608,1,204,12,224,52,Delivery Truck,1/4/2015,1/2/2015,South Carolina,US10896,United States,32.79237693,-79.99210474,America,North America,Belinda Stonarch
1019,90337,Critical,388,Roger Schwartz,Corporate,Melbourne,Office Supplies,Paper,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),-50,-227.2727273,4,22,1,6,6,Regular Air,1/5/2015,1/2/2015,State of Victoria,AU101558,Australia,-37.82003131,144.9750162,Oceania,Australia and New Zealand,
495,90430,Not Specified,193,Danny Hong,Corporate,Manchester,Technology,Office Machines,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,-542,-240.8888889,1,225,2,225,15,Delivery Truck,1/5/2015,1/2/2015,England,GB101493,United Kingdom,53.50041526,-2.247987103,Europe,Northern Europe,
5334,89999,High,1988,Anna Burgess,Home Office,Merida,Furniture,Office Furnishings,Medium Box,36X48 HARDFLOOR CHAIRMAT,-50,-79.36507937,3,63,2,22,21,Regular Air,1/4/2015,1/2/2015,Yucatán,ME11690,Mexico,20.96663881,-89.61663355,America,Central America,
8687,85850,Critical,3146,Maureen Stout,Corporate,San Francisco,Office Supplies,Paper,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",6,15,11,40,2,4,2,Express Air,1/6/2015,1/3/2015,California,94010,United States,37.74000775,-122.4599777,America,North America,Janice Joplin
2403,86356,High,915,Carol Sherrill,Home Office,Voronezh,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,-473,-135.9195402,1,348,15,370,30,Delivery Truck,1/5/2015,1/3/2015,Voronezhskaya Oblast',RU101492,Russia,51.72998069,39.26999548,Europe,Eastern Europe,
8686,85850,Critical,3146,Maureen Stout,Corporate,San Francisco,Office Supplies,Binders and Binder Accessories,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,-11,-78.57142857,4,14,0,4,6,Regular Air,1/5/2015,1/3/2015,California,94010,United States,37.74000775,-122.4599777,America,North America,Janice Joplin
7194,85914,Critical,2630,Betsy Puckett,Small Business,Riyadh,Furniture,Office Furnishings,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1457,67.14285714,10,2170,86,221,21,Regular Air,1/6/2015,1/4/2015,Ar Riyad,SA101476,Saudi Arabia,24.64083315,46.77274166,Asia,Western Asia,
7193,85914,Critical,2630,Betsy Puckett,Small Business,Riyadh,Furniture,Office Furnishings,Large Box,Electrix Halogen Magnifier Lamp,667,65.71428571,5,1015,36,205,12,Regular Air,1/7/2015,1/4/2015,Ar Riyad,SA101476,Saudi Arabia,24.64083315,46.77274166,Asia,Western Asia,
7195,85914,Critical,2630,Betsy Puckett,Small Business,Riyadh,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,775,63.11074919,8,1228,37,154,18,Delivery Truck,1/7/2015,1/4/2015,Ar Riyad,SA101476,Saudi Arabia,24.64083315,46.77274166,Asia,Western Asia,
2318,89536,Critical,890,Billie Fowler,Consumer,Voronezh,Technology,Telephones and Communication,Small Box,232,440,57.44125326,6,766,35,133,5,Regular Air,1/5/2015,1/4/2015,Voronezhskaya Oblast',RU101492,Russia,51.72998069,39.26999548,Europe,Eastern Europe,
2317,89536,Critical,890,Billie Fowler,Consumer,Voronezh,Furniture,Chairs & Chairmats,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",1,5.263157895,11,19,1,2,1,Regular Air,1/6/2015,1/4/2015,Voronezhskaya Oblast',RU101492,Russia,51.72998069,39.26999548,Europe,Eastern Europe,
6008,86258,High,2206,Bobby Powell,Consumer,Gurgaon,Technology,Telephones and Communication,Small Box,3285,-72,-11.14551084,3,646,18,217,6,Regular Air,1/7/2015,1/4/2015,Haryana,IN101445,India,28.45000633,77.01999101,Asia,Southern Asia,
6007,86258,High,2206,Bobby Powell,Consumer,Ahmedabad,Technology,Computer Peripherals,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",-34,-58.62068966,2,58,2,30,2,Regular Air,1/6/2015,1/4/2015,Dadra and Nagar Haveli,IN101449,India,23.03005292,72.58000362,Asia,Southern Asia,
5877,90404,Not Specified,2151,Melinda Rogers,Corporate,Tijuana,Furniture,Chairs & Chairmats,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",-157,-66.24472574,1,237,12,257,43,Delivery Truck,1/6/2015,1/4/2015,Baja California,ME101654,Mexico,32.50001752,-117.079996,America,Central America,
2798,86122,Not Specified,1085,Ted Dunlap,Home Office,Istanbul,Office Supplies,Paper,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",-39,-84.7826087,6,46,2,8,6,Regular Air,1/6/2015,1/4/2015,Istanbul,,Turkey,41.0136,28.955,Asia,Western Asia,
8634,87285,High,3125,Guy McDonald,Home Office,Dallas,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,-226,-96.17021277,2,235,10,128,26,Delivery Truck,1/7/2015,1/4/2015,Alabama,US10865,United States,32.82002382,-96.84001693,America,North America,Kevin Jernagan
9189,86283,Medium,3331,Elisabeth Shaw,Corporate,San Francisco,Office Supplies,Storage & Organization,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",-50,-79.36507937,11,63,4,6,5,Regular Air,1/6/2015,1/4/2015,California,94010,United States,37.74000775,-122.4599777,America,North America,Janice Joplin
9089,90750,Not Specified,3285,Ricky Garner,Consumer,Hartford,Technology,Computer Peripherals,Small Pack,BASF Silver 74 Minute CD-R,8,66.66666667,7,12,1,2,2,Regular Air,1/7/2015,1/5/2015,Connecticut,US10941,United States,41.77002016,-72.67996708,America,North America,Bill O'Reilly
9090,90750,Not Specified,3285,Ricky Garner,Consumer,Denver,Office Supplies,Paper,Small Box,Xerox 19,205,70.4467354,9,291,8,33,5,Regular Air,1/8/2015,1/5/2015,Colorado,US10939,United States,39.73918805,-104.984016,America,North America,David Buchwald
5863,87071,Low,2146,Courtney Boyd,Corporate,Cancun,Office Supplies,Storage & Organization,Large Box,Tennsco Commercial Shelving,29,70.73170732,2,41,1,21,35,Regular Air,1/10/2015,1/5/2015,Quintana Roo,ME11670,Mexico,21.16995974,-86.83000777,America,Central America,
2107,89909,Not Specified,799,Lee McKenna Gregory,Consumer,Ryazan,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex Swivel Fabric Task Chair,127,13.42494715,6,946,21,159,30,Delivery Truck,1/8/2015,1/5/2015,Ryazanskaya Oblast',RU101480,Russia,54.61995933,39.71999385,Europe,Eastern Europe,
2079,90961,Low,783,Carlos Byrd,Small Business,St. Petersburg,Furniture,Bookcases,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",-130,-20.73365231,6,627,13,107,36,Delivery Truck,1/6/2015,1/5/2015,City of St. Petersburg,RU101696,Russia,59.93901451,30.31602006,Europe,Eastern Europe,
2108,89909,Not Specified,799,Lee McKenna Gregory,Consumer,Ryazan,Office Supplies,Storage & Organization,Medium Box,Eldon Portable Mobile Manager,-86,-24.22535211,12,355,8,30,14,Express Air,1/8/2015,1/5/2015,Ryazanskaya Oblast',RU101480,Russia,54.61995933,39.71999385,Europe,Eastern Europe,
4845,87853,Critical,1793,Derek Jernigan,Home Office,Davangere,Furniture,Bookcases,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-13243,-185.4761905,8,7140,357,930,45,Delivery Truck,1/7/2015,1/5/2015,Karnataka,IN101447,India,14.47000694,75.92000647,Asia,Southern Asia,
9240,89355,Medium,3347,Carrie McIntosh,Consumer,Montgomery,Furniture,Office Furnishings,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,-26,-78.78787879,5,33,1,7,5,Express Air,1/8/2015,1/5/2015,Alabama,US10843,United States,32.36160219,-86.27918868,America,North America,Kevin Jernagan
4810,89856,High,1782,Lawrence Dennis,Home Office,Tijuana,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 342,-19,-82.60869565,7,23,1,3,4,Regular Air,1/8/2015,1/5/2015,Baja California,ME101654,Mexico,32.50001752,-117.079996,America,Central America,
2109,89909,Not Specified,799,Lee McKenna Gregory,Consumer,Kaliningrad,Technology,Telephones and Communication,Small Box,Accessory35,-29,-78.37837838,1,37,1,38,1,Regular Air,1/7/2015,1/5/2015,Kaliningradskaya Oblast',RU101494,Russia,54.70000612,20.49734289,Europe,Eastern Europe,
4265,87993,Medium,1606,Don Rogers,Home Office,Cancun,Technology,Office Machines,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,75,0.563274502,2,13315,856,7158,24,Regular Air,1/8/2015,1/6/2015,Quintana Roo,ME11670,Mexico,21.16995974,-86.83000777,America,Central America,
7196,85915,High,2630,Betsy Puckett,Small Business,Riyadh,Technology,Telephones and Communication,Small Box,i1000,-134,-69.07216495,3,194,12,70,6,Regular Air,1/8/2015,1/6/2015,Ar Riyad,SA101476,Saudi Arabia,24.64083315,46.77274166,Asia,Western Asia,
1727,91575,High,651,Leah Clapp,Consumer,Melbourne,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",-239,-128.4946237,12,186,12,17,13,Regular Air,1/8/2015,1/6/2015,State of Victoria,AU101558,Australia,-37.82003131,144.9750162,Oceania,Australia and New Zealand,
4264,87993,Medium,1606,Don Rogers,Home Office,Merida,Technology,Copiers and Fax,Large Box,Canon PC1060 Personal Laser Copier,-547,-79.62154294,1,687,44,739,24,Express Air,1/8/2015,1/6/2015,Yucatán,ME11690,Mexico,20.96663881,-89.61663355,America,Central America,
3611,90513,Medium,1367,James Hunter,Consumer,Recife,Technology,Computer Peripherals,Small Box,Keytronic French Keyboard,-60,-78.94736842,1,76,3,78,15,Regular Air,1/10/2015,1/6/2015,Pernambuco,BR111660,Brazil,-8.075645326,-34.91560551,America,South America,
7991,88156,High,2908,Robyn Lyon,Home Office,Paris,Furniture,Office Furnishings,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",17,73.91304348,1,23,1,24,9,Regular Air,1/8/2015,1/7/2015,Île-de-France,FR101423,France,48.86669293,2.333335326,Europe,Western Europe,
7990,88156,High,2908,Robyn Lyon,Home Office,Marseille,Office Supplies,Labels,Small Box,Avery 491,11,68.75,4,16,1,4,1,Regular Air,1/8/2015,1/7/2015,Provence-Alpes-Côte-d'Azur,FR121423,France,43.28997906,5.37501013,Europe,Western Europe,
7851,85826,High,2868,Eugene Clayton,Corporate,Aomori,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind TL300 Electric Binding System,3480,63.16935923,6,5509,235,947,20,Regular Air,1/10/2015,1/7/2015,Aomori-ken,JP101537,Japan,40.82503908,140.7100052,Asia,Eastern Asia,
5700,87888,Not Specified,2099,Nathan Fox,Home Office,Hong Kong,Office Supplies,Appliances,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,-44,-51.1627907,6,86,5,15,4,Regular Air,1/9/2015,1/7/2015,Yau Tsim Mong,HK101477,Hong Kong S.A.R.,22.3049809,114.1850093,Asia,Southern Asia,
5916,88794,Not Specified,2165,Melanie Knight,Small Business,Bangalore,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 339,-5,-31.25,6,16,1,3,1,Regular Air,1/11/2015,1/8/2015,Karnataka,IN11436,India,12.96999514,77.56000972,Asia,Southern Asia,
4686,18561,Not Specified,1745,Herbert Holden,Home Office,Hong Kong,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",-50,-131.5789474,9,38,2,4,7,Regular Air,1/10/2015,1/8/2015,Yau Tsim Mong,HK101477,Hong Kong S.A.R.,22.3049809,114.1850093,Asia,Southern Asia,
2181,89770,High,833,Gerald Love,Corporate,Kaliningrad,Office Supplies,Pens & Art Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,-197,-145.9259259,11,135,2,12,9,Express Air,1/11/2015,1/8/2015,Kaliningradskaya Oblast',RU101494,Russia,54.70000612,20.49734289,Europe,Eastern Europe,
6987,86527,Low,2555,Karl Knowles,Home Office,Salem,Office Supplies,Pens & Art Supplies,Wrap Bag,12 Colored Short Pencils,-23,-76.66666667,12,30,2,3,2,Regular Air,1/14/2015,1/9/2015,Massachusetts,US01971,United States,42.5224989,-70.88309175,America,North America,Anand Prashad
5913,88794,Not Specified,2164,Harry Sellers,Small Business,Tumkur,Office Supplies,Binders and Binder Accessories,Small Box,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",-13,-76.47058824,3,17,0,6,8,Regular Air,1/10/2015,1/8/2015,Karnataka,IN101446,India,13.32997316,77.1000378,Asia,Southern Asia,
5914,88794,Not Specified,2164,Harry Sellers,Small Business,Varanasi,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,-29,-80.55555556,11,36,1,3,4,Regular Air,1/9/2015,1/8/2015,Uttar Pradesh,IN101448,India,25.32999005,83.00003943,Asia,Southern Asia,
938,91130,Low,358,Chris F Brandt,Corporate,Leeds,Technology,Telephones and Communication,Small Box,M70,-102,-79.6875,1,128,4,133,9,Regular Air,1/16/2015,1/8/2015,England,GB101484,United Kingdom,53.83000755,-1.580017539,Europe,Northern Europe,
5309,89039,Critical,1976,Sherri F Vogel,Consumer,Cancun,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,95,68.34532374,12,139,5,12,2,Regular Air,1/12/2015,1/9/2015,Quintana Roo,ME11670,Mexico,21.16995974,-86.83000777,America,Central America,
2347,90166,Critical,896,Jennifer Siegel,Corporate,Ryazan,Furniture,Office Furnishings,Wrap Bag,Document Clip Frames,33,63.46153846,6,52,1,9,1,Regular Air,1/12/2015,1/9/2015,Ryazanskaya Oblast',RU101480,Russia,54.61995933,39.71999385,Europe,Eastern Europe,
2328,14596,Critical,894,Gail Rankin Cole,Corporate,Ryazan,Furniture,Office Furnishings,Wrap Bag,Document Clip Frames,28,13.39712919,24,209,8,9,1,Regular Air,1/12/2015,1/9/2015,Ryazanskaya Oblast',RU101480,Russia,54.61995933,39.71999385,Europe,Eastern Europe,
6365,89503,Low,2346,Sylvia Kumar,Corporate,Milan,Technology,Office Machines,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,-47,-1.285557987,12,3656,163,314,15,Delivery Truck,1/15/2015,1/9/2015,Provincia di Milano,IT101692,Italy,45.4699752,9.20500891,Europe,Southern Europe,
5824,90078,Low,2132,Philip Hawkins,Home Office,Merida,Technology,Computer Peripherals,Small Box,"Fellowes Internet Keyboard, Platinum",-185,-55.2238806,11,335,14,32,9,Express Air,1/14/2015,1/9/2015,Yucatán,ME11690,Mexico,20.96663881,-89.61663355,America,Central America,
2329,14596,Critical,894,Gail Rankin Cole,Corporate,Ryazan,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,-83,-133.8709677,19,62,4,3,4,Regular Air,1/11/2015,1/9/2015,Ryazanskaya Oblast',RU101480,Russia,54.61995933,39.71999385,Europe,Eastern Europe,
5308,89039,Critical,1976,Sherri F Vogel,Consumer,Merida,Furniture,Bookcases,Jumbo Box,"Hon Metal Bookcases, Putty",-822,-144.4639719,8,569,22,75,47,Delivery Truck,1/11/2015,1/9/2015,Yucatán,ME11690,Mexico,20.96663881,-89.61663355,America,Central America,
7672,87552,Medium,2797,Cameron Kendall,Consumer,Bordeaux,Technology,Computer Peripherals,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",-34,-80.95238095,8,42,1,5,5,Regular Air,1/11/2015,1/9/2015,Aquitaine,,France,44.84044,-0.5805,Europe,Western Europe,
497,90431,Not Specified,194,Tammy Goldman,Corporate,London,Office Supplies,Paper,Small Box,Xerox 1996,-21,-77.77777778,4,27,1,7,9,Regular Air,1/11/2015,1/9/2015,England,E1 1,United Kingdom,51.49999473,-0.116721844,Europe,Northern Europe,
2348,90166,Critical,896,Jennifer Siegel,Corporate,Moscow,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,-13,-81.25,5,16,1,3,4,Regular Air,1/11/2015,1/9/2015,Moskva,RU101429,Russia,55.75216412,37.61552283,Europe,Eastern Europe,
1201,88060,Not Specified,470,Tony Doyle,Small Business,Melbourne,Office Supplies,Paper,Small Box,Xerox 188,22,37.93103448,5,58,1,12,5,Regular Air,1/11/2015,1/11/2015,State of Victoria,AU101558,Australia,-37.82003131,144.9750162,Oceania,Australia and New Zealand,
1197,88060,Not Specified,466,Marc Nash,Small Business,Melbourne,Technology,Office Machines,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,480,33.21799308,5,1445,77,314,15,Delivery Truck,1/11/2015,1/10/2015,State of Victoria,AU101558,Australia,-37.82003131,144.9750162,Oceania,Australia and New Zealand,
436,89426,Low,166,Vicki Hauser,Consumer,Birmingham,Technology,Office Machines,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,28,1.441812564,5,1942,114,422,12,Delivery Truck,1/18/2015,1/10/2015,England,GB101495,United Kingdom,52.47497398,-1.919996787,Europe,Northern Europe,
1199,88060,Not Specified,468,Craig Bennett,Small Business,Canberra,Office Supplies,Appliances,Medium Box,Holmes Odor Grabber,-27,-37.5,5,72,2,15,7,Regular Air,1/12/2015,1/10/2015,Australian Capital Territory,AU101555,Australia,-35.28302855,149.1290262,Oceania,Australia and New Zealand,
1198,88060,Not Specified,467,Maria Thomas,Small Business,Canberra,Furniture,Office Furnishings,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",-117,-79.05405405,11,148,2,14,14,Regular Air,1/12/2015,1/10/2015,Australian Capital Territory,AU101555,Australia,-35.28302855,149.1290262,Oceania,Australia and New Zealand,
1200,88060,Not Specified,469,Marion Bowling,Small Business,Hobart,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,-23,-79.31034483,7,29,1,4,7,Express Air,1/13/2015,1/10/2015,State of Tasmania,AU101564,Australia,-42.85000853,147.2950297,Oceania,Australia and New Zealand,
3793,89448,Low,1424,Robyn Zhou,Home Office,Recife,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",43,66.15384615,7,65,1,9,1,Regular Air,1/16/2015,1/11/2015,Pernambuco,BR111660,Brazil,-8.075645326,-34.91560551,America,South America,
7597,91228,Critical,2776,April Henson,Consumer,Milwaukee,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2601,65.81477733,11,3952,157,370,30,Delivery Truck,1/15/2015,1/11/2015,Wisconsin,US10903,United States,43.05265505,-87.91996708,America,North America,Chris Walker
5623,88554,Medium,2069,Elsie Boykin,Consumer,Victoria,Technology,Computer Peripherals,Small Box,Targus USB Numeric Keypad,65,55.55555556,3,117,8,43,7,Regular Air,1/14/2015,1/11/2015,British Columbia,CA116602,Canada,48.43328269,-123.3500009,America,North America,Jane Doe
3792,89448,Low,1424,Robyn Zhou,Home Office,Rio de Janeiro,Furniture,Chairs & Chairmats,Jumbo Drum,Global Leather Executive Chair,436,41.28787879,3,1056,43,370,39,Delivery Truck,1/14/2015,1/11/2015,Rio de Janeiro,BR121660,Brazil,-22.92502317,-43.22502079,America,South America,
7598,91228,Critical,2776,April Henson,Consumer,Montgomery,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Dustless Chalk Sticks,2,14.28571429,8,14,1,2,1,Regular Air,1/14/2015,1/11/2015,Alabama,US10843,United States,32.36160219,-86.27918868,America,North America,Kevin Jernagan
1997,91200,Not Specified,750,Jordan Wilkinson,Corporate,St. Petersburg,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer,-217,-81.27340824,10,267,19,29,20,Regular Air,1/13/2015,1/11/2015,City of St. Petersburg,RU101696,Russia,59.93901451,30.31602006,Europe,Eastern Europe,
3794,89448,Low,1424,Robyn Zhou,Home Office,Recife,Office Supplies,Rubber Bands,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",-20,-90.90909091,11,22,1,2,1,Regular Air,1/16/2015,1/11/2015,Pernambuco,BR111660,Brazil,-8.075645326,-34.91560551,America,South America,
1311,90058,Low,510,Gregory Rao,Corporate,Hobart,Office Supplies,Paper,Small Box,Xerox 1910,102,68.45637584,3,149,5,51,5,Regular Air,1/13/2015,1/12/2015,State of Tasmania,AU101564,Australia,-42.85000853,147.2950297,Oceania,Australia and New Zealand,
6429,90408,Low,2369,Mike G Hartman,Consumer,Marseille,Office Supplies,Paper,Small Box,Xerox 1903,-41,-53.94736842,13,76,4,6,6,Regular Air,1/15/2015,1/12/2015,Provence-Alpes-Côte-d'Azur,FR121423,France,43.28997906,5.37501013,Europe,Western Europe,
8698,89716,Medium,3149,Harriet Moore,Corporate,San Francisco,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,939,49.13657771,6,1911,95,339,59,Delivery Truck,1/16/2015,1/13/2015,California,94010,United States,37.74000775,-122.4599777,America,North America,Janice Joplin
4349,89704,Critical,1636,Sidney Greenberg,Home Office,Varanasi,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 336,10,34.48275862,7,29,2,5,1,Regular Air,1/17/2015,1/13/2015,Uttar Pradesh,IN101448,India,25.32999005,83.00003943,Asia,Southern Asia,
8919,86507,Not Specified,3226,Arthur Gold,Small Business,Madison,Office Supplies,Envelopes,Small Box,Tyvek Side-Opening Peel & Seel Expanding Envelopes,-11,-6.179775281,2,178,7,95,20,Regular Air,1/15/2015,1/13/2015,Alabama,US10847,United States,43.07301556,-89.40111699,America,North America,Kevin Jernagan
